State,DODAAC,Station Name (LEA),Station Active Flag,Station Type,Book Type,Property Status,Property Number,Requisition Number,NSN,Item Name,Quantity,Serial Number,Serial Number Required Flag,Image Count,Requisition Date,Ship Date,Last Inventory Date,DEMIL Code,DEMIL IC,DTID,UI,Unit Cost,Total Cost
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14239NJ00005,2YTAGQ-4224-6474,2320-01-107-7155,"TRUCK,UTILITY",1,36208,Y,6,28-Aug-14,15-Aug-14,7-Nov-14,Q,3,null,Each,"$41,061.00 ","$41,061.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14239NJ00006,2YTAGQ-4224-6474,2320-01-107-7155,"TRUCK,UTILITY",1,67586,Y,6,28-Aug-14,15-Aug-14,28-Aug-14,Q,3,null,Each,"$41,061.00 ","$41,061.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14240NJ00003,2YTAGQ-4224-6474,2320-01-107-7155,"TRUCK,UTILITY",1,71014,Y,6,1-Sep-14,15-Aug-14,7-Nov-14,Q,3,null,Each,"$41,061.00 ","$41,061.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14239NJ00003,2YTAGQ-4224-6674,2320-01-488-6962,TRUCK TRACTOR,1,1FULATCG79PAE5923,N,6,27-Aug-14,15-Aug-14,27-Aug-14,Q,6,null,Each,#########,"$166,223.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14239NJ00004,2YTAGQ-4225-7105,4310-01-192-0976,"COMPRESSOR UNIT,ROTARY",1,3103,N,5,27-Aug-14,15-Aug-14,27-Aug-14,A,7,null,Each,"$5,553.18 ","$5,553.18 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14259NJ00036,2YTAGQ-4233-0297,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,1FG999998KM451431,N,5,17-Sep-14,11-Sep-14,17-Sep-14,A,1,null,Each,#########,"$110,000.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14273NJ00068,2YTAGQ-4238-1929,6115-00-465-1030,"GENERATOR SET,DIESEL ENGINE",1,RZC01640,N,5,1-Oct-14,18-Sep-14,1-Oct-14,A,1,null,Each,"$13,635.00 ","$13,635.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14258NJ00013,2YTAGQ-4245-5492,2320-01-107-7155,"TRUCK,UTILITY",1,156084,Y,4,18-Sep-14,4-Sep-14,18-Sep-14,Q,3,null,Each,"$41,061.00 ","$41,061.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14266NJ00001,2YTAGQ-4251-7843,2330-00-133-1731,"SEMITRAILER,LOW  BED",1,665,N,4,23-Sep-14,18-Sep-14,23-Sep-14,A,7,null,Each,"$20,007.00 ","$20,007.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14268NJ00003,2YTAGQ-4251-8382,8465-01-519-2301,HYDRATION SYSTEM,10,NONE,N,0,25-Sep-14,16-Sep-14,25-Sep-14,A,1,null,Each,$38.73 ,$387.30 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14267NJ00069,2YTAGQ-4251-8390,8405-01-545-8153,"LINER,WET WEATHER PONCHO",10,8.41E+12,N,0,25-Sep-14,16-Sep-14,25-Sep-14,A,1,null,Each,$37.42 ,$374.20 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14266NJ00007,2YTAGQ-4258-7476,2310-DS-VAN-0000,VAN,1,1FBJS31L1VHA21154,N,5,23-Sep-14,18-Sep-14,23-Sep-14,A,,null,Each,"$1,000.00 ","$1,000.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14264NJ00005,2YTAGQ-4258-8155,8140-01-380-5857,"CONTAINER,AMMUNITION",1,NULL,N,0,22-Sep-14,18-Sep-14,22-Sep-14,A,7,null,Each,$37.00 ,$37.00 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14264NJ00006,2YTAGQ-4258-8156,8140-01-380-5857,"CONTAINER,AMMUNITION",4,NULL,N,0,22-Sep-14,18-Sep-14,22-Sep-14,A,7,null,Each,$37.00 ,$148.00 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14296NJ00018,2YTAGQ-4272-3319,6230-01-056-5238,"FLOODLIGHT SET,TRAILER MOUNTED",4,350739UK0789,N,4,24-Oct-14,15-Oct-14,24-Oct-14,A,,null,Set,"$4,489.00 ","$17,956.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14299NJ00002,2YTAGQ-4273-5073,8465-01-515-8620,FIELD PACK,13,M67854-03-D-3025,N,0,27-Oct-14,20-Oct-14,27-Oct-14,A,,null,Each,$228.89 ,"$2,975.57 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14299NJ00001,2YTAGQ-4273-5075,8415-01-463-2381,"GLOVE INSERTS,COLD WEATHER",15,8415-01-A13-3786,N,0,27-Oct-14,20-Oct-14,27-Oct-14,A,,null,Pair,$3.00 ,$45.00 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14296NJ00017,2YTAGQ-4281-1612,2320-01-230-0300,"TRUCK,VAN",1,34/00230,N,5,24-Oct-14,15-Oct-14,24-Oct-14,A,,null,Each,#########,"$111,395.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14106NJ00036,W52H09-4077-B491,1005-00-589-1271,M14 ASSAULT RIFLE,1,1560757,Y,2,17-Apr-14,21-May-08,9-Oct-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14106NJ00032,W52H09-4077-B491,1005-00-589-1271,M14 ASSAULT RIFLE,1,353264,Y,2,17-Apr-14,21-May-08,9-Oct-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00023,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,1302462,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00018,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,1342518,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00017,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,1428313,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00019,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,1483621,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00015,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,152496,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00022,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,1578851,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00021,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,413571,Y,1,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTAQH,ATLANTIC CITY POLICE DEPT,Y,State,TRACKED,ASSIGNED,14107NJ00060,W52H09-4034-B479,1005-00-589-1271,M14 ASSAULT RIFLE,1,479806,Y,3,17-Apr-14,16-Jun-06,3-Nov-14,D,1,000000-0000-00000,Each,$138.00 ,$138.00 
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00003,2YTASN-3301-6917,2320-01-125-2640,TRUCK TRACTOR,1,NULL,N,0,28-Apr-14,7-Nov-13,6-Oct-14,Q,6,null,Each,"$57,454.00 ","$57,454.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00005,2YTASN-3301-6920,2320-01-125-2640,TRUCK TRACTOR,1,NULL,N,0,28-Apr-14,31-Oct-13,6-Oct-14,Q,6,null,Each,"$57,454.00 ","$57,454.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00008,2YTASN-3301-7026,2320-01-128-9551,"TRUCK,UTILITY",1,107997,Y,4,30-Apr-14,7-Nov-13,6-Oct-14,C,1,null,Each,"$50,458.00 ","$50,458.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00007,2YTASN-3301-7026,2320-01-128-9551,"TRUCK,UTILITY",1,108830,Y,3,30-Apr-14,7-Nov-13,6-Oct-14,C,1,null,Each,"$50,458.00 ","$50,458.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00009,2YTASN-3317-3932,2320-01-458-1207,TRUCK TRACTOR,3,NULL,N,0,28-Apr-14,25-Nov-13,6-Oct-14,Q,6,null,Each,"$70,832.00 ","$212,496.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00010,2YTASN-3317-3933,2320-01-230-0305,"TRUCK,DUMP",1,NULL,N,0,28-Apr-14,21-Nov-13,28-Apr-14,A,1,null,Each,"$72,425.00 ","$72,425.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00011,2YTASN-3326-8160,6230-01-382-7265,"FLOODLIGHT SET,ELECTRIC",5,NULL,N,0,28-Apr-14,12-Dec-13,28-Apr-14,A,1,null,Each,"$18,400.00 ","$92,000.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14241NJ00071,2YTASN-4230-8779,2320-01-458-1207,TRUCK TRACTOR,2,1FVXAU00X7PX66858,N,7,1-Sep-14,27-Aug-14,1-Sep-14,Q,6,null,Each,"$70,832.00 ","$141,664.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14241NJ00100,2YTASN-4238-2078,2330-DS-TRA-ILE1,TRAILER,1,A377475CP,N,0,3-Sep-14,29-Aug-14,3-Sep-14,A,,null,Each,#########,"$818,208.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14252NJ00007,2YTASN-4245-5121,2320-01-047-8750,"TRUCK,VAN",1,GI-373-469,N,3,10-Sep-14,4-Sep-14,10-Sep-14,A,7,null,Each,#########,"$135,122.00 "
NJ,2YTASN,AVALON POLICE DEPT,Y,State,TRACKED,ASSIGNED,14254NJ00006,2YTASN-4245-5122,2320-01-047-8750,"TRUCK,VAN",1,4106591-25,N,2,11-Sep-14,10-Sep-14,11-Sep-14,A,7,null,Each,#########,"$135,122.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,PENDING TRANSFE,14034NJ00055,2YTLDD-3326-8298,2410-00-185-9792,"TRACTOR,FULL TRACKED,LOW  SPEED",1,NULL,N,0,15-Feb-14,12-Dec-13,15-May-14,A,7,null,Each,"$72,325.00 ","$72,325.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00003,2YTP47-3305-9458,4310-01-245-9892,"COMPRESSOR  UNIT,RECIPROCATING",1,NULL,N,0,20-Mar-14,15-Nov-13,20-Mar-14,A,1,null,Each,"$1,558.00 ","$1,558.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00006,2YTP47-3305-9481,6515-01-491-5719,"GLOVE,PATIENT EXAMINING",2,NULL,N,0,20-Mar-14,15-Nov-13,20-Mar-14,A,1,null,Package,$17.82 ,$35.64 
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00005,2YTP47-3305-9482,5180-01-460-9328,"TOOL KIT,ELECTRONIC SYSTEM",1,NULL,N,0,20-Mar-14,15-Nov-13,20-Mar-14,A,1,null,Each,"$1,127.00 ","$1,127.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14126NJ00029,2YTP47-3310-1586,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,1FG999999JM451288,N,3,7-May-14,22-Nov-13,7-May-14,A,1,null,Each,#########,"$110,000.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14126NJ00015,2YTP47-3312-2511,6115-01-565-1576,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,T-10-198,N,0,6-May-14,15-Nov-13,16-Oct-14,Q,6,null,Each,"$20,415.00 ","$20,415.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00009,2YTP47-3312-2525,2320-01-230-0309,"TRUCK,CARGO",1,NULL,N,0,21-Mar-14,15-Nov-13,21-Mar-14,A,1,null,Each,"$93,042.00 ","$93,042.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00010,2YTP47-3313-2960,4310-01-365-9013,"COMPRESSOR  UNIT,RECIPROCATING",1,NULL,N,0,20-Mar-14,15-Nov-13,20-Mar-14,A,1,null,Each,"$1,072.00 ","$1,072.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00011,2YTP47-3317-4148,5180-01-144-0416,"TOOL KIT,GENERAL MECHANIC'S",1,NULL,N,0,20-Mar-14,15-Nov-13,20-Mar-14,A,1,null,Kit,$569.00 ,$569.00 
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14126NJ00028,2YTP47-3329-9176,2320-01-371-9577,"TRUCK,UTILITY",1,152976,Y,3,7-May-14,3-Dec-13,16-Oct-14,Q,3,null,Each,"$47,023.00 ","$47,023.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14058NJ00012,2YTP47-3340-3397,2540-01-434-8598,"COVER,FITTED,VEHICULAR CAB",1,NULL,N,0,20-Mar-14,19-Dec-13,16-Oct-14,B,3,null,Kit,$728.16 ,$728.16 
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14126NJ00025,2YTP47-4017-7765,2320-01-128-9551,"TRUCK,UTILITY",1,103418,Y,3,7-May-14,27-Jan-14,16-Oct-14,C,1,null,Each,"$50,458.00 ","$50,458.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,TRACKED,ASSIGNED,14233NJ00002,2YTP47-4205-8965,2320-01-107-7155,"TRUCK,UTILITY",1,102123,Y,4,22-Aug-14,29-Jul-14,22-Aug-14,Q,3,null,Each,"$41,061.00 ","$41,061.00 "
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,PENDING RECEIP,PENDING RECEIPT,,2YTP47-4302-2453,6150-01-022-6004,"CABLE  ASSEMBLY,POWER,ELECTRICAL",2,,N,0,31-Oct-14,31-Oct-14,,A,1,null,Each,$326.54 ,$653.08 
NJ,2YTP47,AVON BY THE SEA POLICE DEPT,Y,State,PENDING RECEIP,PENDING RECEIPT,,2YTP47-4302-2453,6150-01-022-6004,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,,N,0,31-Oct-14,31-Oct-14,,A,1,null,Each,$326.54 ,$326.54 
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14119NJ00013,2YTAWH-3263-2312,2320-01-230-0307,"TRUCK,CARGO",1,23/01092,N,4,30-Apr-14,28-Oct-13,30-Apr-14,A,1,W23R7B32310009,Each,"$67,139.00 ","$67,139.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14119NJ00012,2YTAWH-3348-6883,1240-01-411-1265,"SIGHT,REFLEX",20,NULL,N,2,30-Apr-14,17-Jan-14,14-Oct-14,D,1,null,Each,$340.00 ,"$6,800.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00014,2YTAWH-4034-4600,2320-01-047-8769,"TRUCK,CARGO",1,NL098VC525-00035,N,4,31-Mar-14,25-Feb-14,14-Oct-14,A,1,W81J8X32910002,Each,"$75,278.00 ","$75,278.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00015,2YTAWH-4049-2191,2320-01-128-9552,"TRUCK,UTILITY",1,117278,Y,4,31-Mar-14,26-Feb-14,14-Oct-14,C,1,W32DQJ31880003B,Each,"$49,897.00 ","$49,897.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00016,2YTAWH-4049-2192,2320-01-128-9552,"TRUCK,UTILITY",1,117255,Y,4,31-Mar-14,26-Feb-14,14-Oct-14,C,1,W805NJ31610021B,Each,"$49,897.00 ","$49,897.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00018,2YTAWH-4049-2193,2320-01-128-9552,"TRUCK,UTILITY",1,17616,Y,4,31-Mar-14,26-Feb-14,14-Oct-14,C,1,W90U6T31610037B,Each,"$49,897.00 ","$49,897.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00017,2YTAWH-4049-2193,2320-01-128-9552,"TRUCK,UTILITY",1,17694,Y,4,31-Mar-14,26-Feb-14,14-Oct-14,C,1,W90U6T31610037B,Each,"$49,897.00 ","$49,897.00 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14087NJ00008,2YTAWH-4057-6602,2590-00-148-7961,"CABLE KIT,SPECIAL POWER",2,NULL,N,0,1-Apr-14,13-Mar-14,14-Oct-14,A,1,w27awt31560011b,Each,$396.00 ,$792.00 
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14114NJ00031,2YTAWH-4058-7040,1005-00-921-5004,"MAGAZINE,CARTRIDGE",50,NULL,N,0,25-Apr-14,20-Mar-14,14-Oct-14,D,1,w80x9c30720700,Each,$9.98 ,$499.00 
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14287NJ00011,2YTAWH-4271-2181,8145-01-471-3557,CONTAINER FOR REFRI,1,NULL,N,0,15-Oct-14,9-Oct-14,15-Oct-14,A,,null,Each,"$19,547.36 ","$19,547.36 "
NJ,2YTAWH,BARNEGAT TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14303NJ00037,2YTAWH-4279-0001,3930-01-158-0849,"TRUCK,LIFT,FORK",1,6000M0H0360,N,0,31-Oct-14,27-Oct-14,31-Oct-14,A,,null,Each,"$72,370.00 ","$72,370.00 "
