Agency Name,County,Item Name,Quantity,Unit Cost,Ship Date
LAKEHURST POLICE DEPT,OCEAN,"AXE,SURVIVAL",5,59.79,10/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BACKPACK,MEDICAL,TACTICAL FIELD CARE",4,577.22,12/6/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"BAG,DUFFEL",100,23.56,4/7/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,INDIVIDUAL EQUIPMENT,CARRIER",4,15.58,2/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,INDIVIDUAL EQUIPMENT,CARRIER",175,21.15,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,MEDICAL AID",2,385.53,12/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,MEDICAL AID",8,378.42,3/3/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,MEDICAL INSTRUMENT AND SUPPLY SET",1,445.20,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,MEDICAL INSTRUMENT AND SUPPLY SET",15,315.31,5/8/14
TINTON FALLS POLICE DEPT,MONMOUTH,"BAG,SAND",30,158.37,3/4/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BALACLAVA,50,23.12,4/4/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BALACLAVA,46,23.12,4/4/14
UNDISCLOSED BY DLA,MONMOUTH,BALLISTIC BLANKET,2,4761.26,7/9/13
UNDISCLOSED BY DLA,OCEAN,BALLISTIC BLANKET,1,1228.20,7/23/13
UNDISCLOSED BY DLA,MONMOUTH,BALLISTIC SHIELDS,1,1116.59,2/25/14
UNDISCLOSED BY DLA,MONMOUTH,BALLISTIC SHIELDS,1,1116.59,2/25/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BANDAGE KIT,ELASTIC",50,6.81,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BANDAGE,GAUZE,IMPREGNATED",300,51.01,11/29/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"BANDAGE,GAUZE,IMPREGNATED",10,51.01,2/18/14
LAKEWOOD POLICE DEPT,OCEAN,BATTERY CHARGER,1,1607.29,3/20/13
LAKEWOOD POLICE DEPT,OCEAN,BEAM SHELF,1,100.00,12/6/12
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"BEDNET,POP-UP",5,119.90,12/12/13
ESSEX COUNTY SHERIFF DEPT,ESSEX,"BELT,SAFETY,INDUSTRIAL",10,130.33,11/26/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"BINDER,LOAD",12,68.44,3/10/14
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"BINDER,LOAD",3,68.44,12/19/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"BINDER,LOAD",33,68.44,12/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,2,84.79,3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,1,329.00,7/10/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,2,5007.00,9/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,76,49.17,11/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,20,393.53,10/10/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,8,6648.00,4/28/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,4,0.00,7/25/13
LITTLE SILVER POLICE DEPT,MONMOUTH,BINOCULAR,10,32.98,2/20/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,BINOCULAR,8,228.00,7/8/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,BINOCULAR,1,6648.00,11/6/13
TINTON FALLS POLICE DEPT,MONMOUTH,BINOCULAR,1,354.00,2/24/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BIPOD ADAPTER ASSEMBLY,8,42.41,3/29/13
SEASIDE PARK POLICE DEPT,OCEAN,"BIPOD,RIFLE",1,124.37,1/8/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BIVY COVER,9,152.84,3/29/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"BLADDER,HYDRATION SYSTEM",16,15.85,9/6/13
TINTON FALLS POLICE DEPT,MONMOUTH,"BLANKET,BED",20,10.95,1/24/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BLASTING MACHINE,1,394.00,8/2/13
BELMAR POLICE DEPT,MONMOUTH,"BOAT,LANDING,INFLATABLE",4,17586.00,10/21/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"BOAT,LANDING,INFLATABLE",3,17586.00,10/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,72.41,2/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,72.41,3/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,94.45,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,COMBAT",2,89.79,3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,FLYERS'",1,181.29,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,ICW,SAFETYTOE",1,141.03,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,SAFETY,MEN'S",1,91.97,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,SAFETY,MEN'S",1,92.29,2/27/13
KEANSBURG POLICE DEPT,MONMOUTH,"BORELIGHT SYSTEM,LASER",1,658.00,11/1/13
KEANSBURG POLICE DEPT,MONMOUTH,"BORELIGHT SYSTEM,LASER",1,658.00,11/1/13
LITTLE SILVER POLICE DEPT,MONMOUTH,"BORELIGHT SYSTEM,LASER",1,658.00,2/19/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BORESCOPE,2,10620.00,3/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BORESCOPE,1,16500.00,7/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BORESCOPE KIT,1,17140.00,3/6/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BORESCOPE KIT,1,0.00,3/29/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"BOX,SHIPPING",1,2546.72,12/6/12
TINTON FALLS POLICE DEPT,MONMOUTH,"BRACKET,TOW HOOK",6,63.20,2/20/14
TINTON FALLS POLICE DEPT,MONMOUTH,BRAKE SHOE SET,3,44.54,1/31/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BREATHING APPARATUS,EMERGENCY",40,479.06,2/17/13
LAKEHURST POLICE DEPT,OCEAN,"BREATHING APPARATUS,SELF-CONTAINED",4,2864.12,11/12/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"BREATHING APPARATUS,SELF-CONTAINED",4,2864.12,11/12/13
UNDISCLOSED BY DLA,MONMOUTH,"BRIDGES, FIXED AND FLOATING",2,104.37,11/19/13
SEASIDE PARK POLICE DEPT,OCEAN,BRIEF CASE,1,0.00,2/19/14
LAKEHURST POLICE DEPT,OCEAN,BUFFER,1,700.00,11/1/13
TINTON FALLS POLICE DEPT,MONMOUTH,"BUILDING,PREFABRICATED,PANELIZED",1,0.00,3/26/14
LAKEHURST POLICE DEPT,OCEAN,"BUNK,BED W LOCKER",2,913.00,11/14/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CABINET, TOOL",1,783.00,12/19/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CABINET, TOOL",1,783.00,12/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CABINETS, LOCKERS, BINS, AND SHELVING",4,500.00,5/6/13
KEANSBURG POLICE DEPT,MONMOUTH,"CABLE ASSEMBLY,POWER,ELECTRICAL",1,283.72,12/10/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CABLE ASSEMBLY,POWER,ELECTRICAL",1,283.72,12/10/13
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"CABLE ASSEMBLY,POWER,ELECTRICAL",1,821.71,6/4/13
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN,"CABLE KIT,SPECIAL POWER",2,555.19,3/13/14
LITTLE SILVER POLICE DEPT,MONMOUTH,"CABLE KIT,SPECIAL POWER",1,555.19,2/27/14
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,"CABLE KIT,SPECIAL POWER",1,555.19,3/5/14
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,"CABLE KIT,SPECIAL POWER",1,555.19,3/5/14
TINTON FALLS POLICE DEPT,MONMOUTH,"CABLE KIT,SPECIAL POWER",2,555.19,2/27/14
UNDISCLOSED BY DLA,ESSEX,CAMERA IR PTZ,4,20000.00,11/6/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA SET,STILL PICTURE",2,1423.00,7/2/13
JACKSON TWP POLICE DEPT,OCEAN,"CAMERA SYSTEM,CCTV",1,672.00,11/21/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",1,423.11,9/30/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",1,1495.00,9/30/13
SEASIDE PARK POLICE DEPT,OCEAN,"CAMERA, DIGITAL",1,150.00,8/26/13
SEASIDE PARK POLICE DEPT,OCEAN,"CAMERA, DIGITAL",1,500.00,9/24/13
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, STILL PICTURE",1,1277.00,4/7/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CAP,EXTREME COLD WEATHER",150,5.34,12/26/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,"CAP,TRUCK,MOUNTING",1,30644.00,1/24/11
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CAP,TRUCK,MOUNTING",2,8886.42,8/30/13
TINTON FALLS POLICE DEPT,MONMOUTH,CARRIER ASSEMBLY,31,31.10,3/7/14
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"CARRIER,INTRENCHING TOOL",35,19.32,7/25/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CART, MOTORIZED",1,2000.00,12/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,BARREL,MACHINE GUN",10,73.54,5/24/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,BURNS,TRAUMA",1,154.14,3/29/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CASE,ELECTRONIC COMMUNICATIONS EQUIPMENT",2,117.45,11/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,MEDICAL INSTRUMENT AND SUPPLY SET",9,768.71,3/29/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"CASE,MEDICAL INSTRUMENT AND SUPPLY SET",16,768.71,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,MEDICAL MODULAR PRIMARY CARE ORGANIZER",1,874.08,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,MEDICAL MODULAR,PREVENTIVE MEDICINE",1,888.92,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,RIFLE",8,0.00,3/6/14
SEASIDE PARK POLICE DEPT,OCEAN,"CASE,SMALL ARMS AMMUNITION",10,8.24,9/24/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,WATERPROOF,NIGHT HUNTERII",11,305.55,3/1/13
LAKEWOOD POLICE DEPT,OCEAN,CD DRIVE,4,150.00,4/12/13
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",1,50.00,11/15/13
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",37,125.00,11/15/13
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",1,125.00,11/15/13
JACKSON TWP POLICE DEPT,OCEAN,"CHAIR, UPHOLSTERED",50,50.00,11/13/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",20,10.00,11/25/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"CHAIRS, OFFICE, LOT",1,50.00,3/6/14
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",60,11.10,3/10/14
BELLEVILLE POLICE DEPT,ESSEX,"CHEST,AMMUNITION",40,11.10,5/22/13
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,"CHEST,AMMUNITION",144,11.10,10/22/13
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,"CHEST,AMMUNITION",144,11.10,8/21/13
KEANSBURG POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",15,11.10,5/21/13
LITTLE FERRY POLICE DEPT,BERGEN                   ,"CHEST,AMMUNITION",30,11.10,2/28/14
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",25,11.10,3/5/14
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",1,11.10,3/5/14
NEPTUNE CITY POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",24,11.10,11/12/13
SEASIDE PARK POLICE DEPT,OCEAN,"CHEST,AMMUNITION",15,11.10,11/27/13
TINTON FALLS POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",20,11.10,2/27/14
TINTON FALLS POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",20,11.10,2/27/14
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",25,11.10,12/11/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CHEST,TOP,MOBILE TOOL CABINET",1,438.66,12/19/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CLAMP,LOOP",378,0.82,11/25/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"CLEANER,STEAM,PRESSURE JET",1,18528.00,1/24/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CLEANING KIT,GUN",19,61.64,3/22/13
LAKEHURST POLICE DEPT,OCEAN,"CLEANING KIT,GUN",2,81.81,8/6/13
TINTON FALLS POLICE DEPT,MONMOUTH,"CLEANING KIT,GUN",1,81.81,3/3/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,CLIMBER'S EQUIPMENT SET,1,7237.46,12/4/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,CLIMBER'S EQUIPMENT SET,1,7237.46,5/27/14
UNDISCLOSED BY DLA,ESSEX,CLOSE QUARTERS BATT,5,0.00,9/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"COMPASS,MAGNETIC,UNMOUNTED",3,4322.59,1/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"COMPENSATOR,BUOYANCY,DIVER'S",14,557.70,4/25/14
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,1558.00,11/15/13
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,1072.00,11/15/13
BELMAR POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,15207.00,9/20/13
KEANSBURG POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,5283.00,7/11/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",4,5283.00,7/2/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,1072.00,12/12/13
TINTON FALLS POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",1,5283.00,1/31/14
LAKEHURST POLICE DEPT,OCEAN,"COMPUTER SYSTEM,DIGITAL",2,5658.00,5/22/13
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",4,3169.00,4/3/14
LAKEWOOD POLICE DEPT,OCEAN,COMPUTER WORKSTATION,22,1200.00,2/7/13
OCEANPORT POLICE DEPT,MONMOUTH,COMPUTER WORKSTATION,18,500.00,6/6/13
LAKEHURST POLICE DEPT,OCEAN,"CONE,SAFETY",89,14.56,6/5/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CONTAINER ASSEMBLY,CARTRIDGE",90,7.50,12/6/12
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"CONTAINER,GENERAL PURPOSE",1,8146.40,5/15/13
BELLEVILLE POLICE DEPT,ESSEX,"CONTROL,RUST KT",1,6328.51,6/17/13
BELMAR POLICE DEPT,MONMOUTH,CONVENIENCE OUTLET ASSEMBLY,64,333.50,10/28/13
OCEANPORT POLICE DEPT,MONMOUTH,"COPIER, COMMERCIAL",1,300.00,7/9/13
JACKSON TWP POLICE DEPT,OCEAN,"COT,FOLDING",15,73.87,12/9/13
LAKEHURST POLICE DEPT,OCEAN,"COT,FOLDING",3,73.87,5/15/13
RED BANK POLICE DEPT,MONMOUTH,"COT,FOLDING",50,73.87,12/19/13
AVON BY THE SEA POLICE DEPT,MONMOUTH,"COVER,FITTED,VEHICULAR CAB",1,728.16,12/19/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"COVER,FITTED,VEHICULAR CAB",1,728.16,8/26/13
RED BANK POLICE DEPT,MONMOUTH,"COVER,FITTED,VEHICULAR CAB",1,728.16,1/30/14
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"COVER,FITTED,VEHICULAR CAB",4,728.16,12/12/13
LAKEHURST POLICE DEPT,OCEAN,"COVER,GUNSIGHT",12,11.91,6/5/13
LAKEHURST POLICE DEPT,OCEAN,"COVER,GUNSIGHT",12,7.30,6/5/13
LAKEHURST POLICE DEPT,OCEAN,"COVERALLS,FUEL HANDLER",4,248.36,9/24/13
BELMAR POLICE DEPT,MONMOUTH,CUBICLE,1,5000.00,10/1/13
UNDISCLOSED BY DLA,ESSEX,DATASCOPE SYSTEM II,10,635.44,3/28/13
BELMAR POLICE DEPT,MONMOUTH,DESK,2,250.00,11/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTING SET,MINE",3,4191.00,8/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTING SET,MINE",2,4191.00,8/8/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTING SET,MINE",3,4191.00,8/16/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTING SET,MINE",135,5274.86,5/22/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTING SET,MINE",10,5274.86,4/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DETECTOR,EXPLOSIVE ORDNANCE",82,216.68,5/1/14
LAKEHURST POLICE DEPT,OCEAN,"DETECTOR,RADIAC",35,26.98,8/26/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"DETECTOR,RADIAC",130,26.98,8/26/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,DIESEL GENERATOR,1,0.00,2/6/14
BRICK TOWNSHIP POLICE DEPT,OCEAN,DISPLAY UNIT,1,0.00,1/14/13
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"DOOR,VEHICULAR",2,107.16,8/20/11
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRAWERS,COLD WEATHER",100,10.54,11/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRAWERS,COLD WEATHER",47,27.35,11/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRILL-DRIVER,ELECTRIC,PORTABLE",2,108.84,9/5/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"DRILL, POWER",2,26.39,9/6/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"DRILL, POWER",1,500.00,12/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRIVER,PROJECTILE,EXPLOSIVE ORDNANCE DISPOSAL",1,2000.00,8/16/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRIVER,PROJECTILE,EXPLOSIVE ORDNANCE DISPOSAL",2,2000.00,9/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"DRY SUIT,RESCUE",36,1114.06,11/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,DUAL PERSONAL ROLE RADIO,16,1758.16,1/17/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,DUAL PERSONAL ROLE RADIO,15,1758.16,5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,EARTH MOVING AND EXCAVATING EQUIPMENT,1,60000.00,12/16/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"ELBOW,PAD",12,11.40,4/7/14
CAPE MAY COUNTY PROSECUTOR,CAPE MAY,ELECTRIC LIGHTING FIXTURES,1,1891.00,10/22/13
LAKEHURST POLICE DEPT,OCEAN,ELECTRIC LIGHTING FIXTURES,1,150.00,11/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",5,300.00,4/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",6,350.00,2/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",3,3500.00,5/14/13
BELMAR POLICE DEPT,MONMOUTH,ELECTRIC RESISTANCE WELDING EQUIPMENT,1,1379.00,10/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,EXPLOSIVE DETECTOR,2,19000.00,10/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"EXTENSION,SOCKET WRENCH",3,6.44,3/14/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"EXTINGUISHER,FIRE",1,65.65,2/28/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"EXTINGUISHER,FIRE",1,65.65,2/28/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,EXTRICATION DEVICE SET,10,115.75,5/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"EXTRICATION KIT,RECIPROCATING SAW,RESCUE AND SALVAGING",1,723.68,3/14/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",29,115.26,3/8/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",10,115.26,3/8/13
UNDISCLOSED BY DLA,MONMOUTH,"FACESHIELD,MILITARY,RIOT CONTROL",15,37.35,7/2/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"FACESHIELD,RIOT CONTROL",50,49.30,7/25/13
LAKEWOOD POLICE DEPT,OCEAN,"FENCING, FENCES, GATES AND COMPONENTS",1,150.00,12/6/12
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIBERSCOPE,9,8320.34,10/3/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIBERSCOPE,1,16000.00,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIBERSCOPE,1,15548.00,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIELD PACK,19,548.59,6/6/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIELD PACK,15,228.89,3/27/14
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,FIELD PACK,6,548.59,7/25/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,FIELD PACK,20,228.89,9/6/13
JACKSON TWP POLICE DEPT,OCEAN,FIELD PACK,10,228.89,11/21/13
MANCHESTER POLICE DEPT,OCEAN,FIELD PACK,28,548.59,11/26/13
MANCHESTER POLICE DEPT,OCEAN,FIELD PACK,36,548.59,1/21/14
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH,FIELD PACK,72,171.83,4/2/14
SEASIDE PARK POLICE DEPT,OCEAN,FIELD PACK,30,112.38,8/26/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"FIELD PACK,LARGE,SET",5,263.25,2/20/14
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,FIGHTING LOAD CARRIER,5,43.60,7/25/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,FIGHTING LOAD CARRIER,35,43.60,7/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FIRST AID KIT,GENERAL PURPOSE",310,207.08,3/29/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"FIRST AID KIT,UNIVERSAL",10,90.82,7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"FIRST AID KIT,UNIVERSAL",25,90.82,2/10/14
TINTON FALLS POLICE DEPT,MONMOUTH,"FIRST AID KIT,UNIVERSAL",50,90.82,2/12/14
