State Name,Station Name (LEA)
NEW JERSEY,WEST WINDSOR TWP POLICE DEPT
NEW JERSEY,LAKEHURST POLICE DEPT
NEW JERSEY,SPRING LAKE HEIGHTS POLICE DEPT
NEW JERSEY,MONMOUTH COUNTY SHERIFF DEPT
NEW JERSEY,CHESTER TOWNSHIP POLICE DEPT
NEW JERSEY,JERSEY CITY POLICE DEPT
NEW JERSEY,OLD TAPPAN POLICE DEPT
NEW JERSEY,HARRINGTON PARK POLICE DEPT
NEW JERSEY,COLLINGSWOOD POLICE DEPT
NEW JERSEY,PASSAIC COUNTY SHERIFF DEPARTMENT
NEW JERSEY,BERGEN COUNTY SHERIFF DEPT
NEW JERSEY,CLAYTON POLICE DEPT
NEW JERSEY,STAFFORD TOWNSHIP POLICE DEPT
NEW JERSEY,HAMMONTON POLICE DEPT
NEW JERSEY,NORTH WILDWOOD POLICE DEPT
NEW JERSEY,CAPE MAY COUNTY PROSECUTOR
NEW JERSEY,SEASIDE PARK POLICE DEPT
NEW JERSEY,CHERRY HILL POLICE DEPT
NEW JERSEY,MIDDLE TOWNSHIP POLICE DEPT
NEW JERSEY,DEAL POLICE DEPT
NEW JERSEY,PRINCETON POLICE DEPT
NEW JERSEY,LIVINGSTON POLICE DEPT
NEW JERSEY,NEWARK POLICE DEPT
NEW JERSEY,LINDEN POLICE DEPT
NEW JERSEY,BROOKLAWN POLICE DEPT
NEW JERSEY,CAMDEN COUNTY SHERIFF DEPT
NEW JERSEY,MILLTOWN POLICE DEPT
NEW JERSEY,EATONTOWN POLICE DEPT
NEW JERSEY,POINT PLEASANT POLICE DEPT
NEW JERSEY,MILLVILLE POLICE DEPT
NEW JERSEY,PATERSON POLICE DEPT
NEW JERSEY,RARITAN TOWNSHIP POLICE DEPT
NEW JERSEY,ENGLEWOOD CLIFFS POLICE DEPARTMENT
NEW JERSEY,PISCATAWAY POLICE DEPT
NEW JERSEY,MIDDLETOWN TOWNSHIP POLICE DEPT
NEW JERSEY,WEST PATERSON POLICE DEPT
NEW JERSEY,MONROE TOWNSHIP POLICE DEPT
NEW JERSEY,DELRAN TOWNSHIP POLICE DEPT
NEW JERSEY,NJ FISH AND WILDLIFE BUREAU OF LAW
NEW JERSEY,CHATHAM TOWNSHIP POLICE DEPT
NEW JERSEY,READINGTON TOWNSHIP POLICE DEPT
NEW JERSEY,MADISON POLICE DEPT
NEW JERSEY,MOUNTAIN LAKES POLICE DEPT
NEW JERSEY,MONMOUTH BEACH POLICE DEPT
NEW JERSEY,PERTH AMBOY POLICE DEPT
NEW JERSEY,WEST NEW YORK POLICE DEPT
NEW JERSEY,LOWER ALLOWAYS CREEK POLICE DEPT
NEW JERSEY,CHESILHURST POLICE DEPT
NEW JERSEY,BERKELEY TOWNSHIP POLICE DEPT
NEW JERSEY,GLOUCESTER CITY POLICE DEPT
NEW JERSEY,BELMAR POLICE DEPT
NEW JERSEY,PLEASANTVILLE POLICE DEPT
